"N","Author","Year","Species","Genus","Family","F.H","Life.form","Sp.origin","Approach","Response","Phase1.m.ori","Phase1.m","Phase1.culti","Experimental.setting","SoilTp","Phase2.grow","Phase2.time","Source","rr","var","Latitude","Longitude","Latitude.abs","MAT","MAP","AI","group","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder_a_code","coder_b_code"
"49","Mo 2014","2014","Pinus massoniana","Pinus","Pinaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Whole soil","Alone","7.5","Figure 4-10","-0.465720967","0.012748132","29.25","118.15","29.25","15.3","1963.7","1.6892","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"50","Mo 2014","2014","Lithocarpus glaber","Lithocarpus","Fagaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Whole soil","Alone","7.5","Figure 4-10","0.174214969","0.01353014","29.25","118.15","29.25","15.3","1963.7","1.6892","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"51","Mo 2014","2014","Lithocarpus glaber","Lithocarpus","Fagaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Whole soil","Alone","7.5","Figure 4-10","0.547336833","0.023535019","29.25","118.15","29.25","15.3","1963.7","1.6892","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"52","Porazinska,2014","2014","Baccharis halimifolia","Baccharis","Asteraceae","Field","Woody","Non-native","Self-Other","Aboveground","Field","Field","Monoculture","Greenhouse","Whole soil","Competition","12","Xi et al. 2021","-0.23210847","0.016982124","-26.54","153.05","26.54","20.64583397","1501","0.83","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"53","Porazinska,2014","2014","Melaleuca quinqueneruia","Melaleuca","Myrtaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Monoculture","Greenhouse","Whole soil","Competition","12","Xi et al. 2021","-0.145332444","0.003111121","-26.54","153.05","26.54","20.64583397","1501","0.83","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"54","Lalibert_x0001_e et al. 2015","2015","Banksia leptophylla","Banksia","Proteaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Whole soil","Alone","7","Figure 5c","-0.12089793","0.053140993","-32.5","117.5","32.5","16.97083282","360","0.1759","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"55","Lalibert_x0001_e et al. 2015","2015","Banksia leptophylla","Banksia","Proteaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Whole soil","Alone","7","Figure 5c","-1.380337127","0.03589812","-32.5","117.5","32.5","16.97083282","360","0.1759","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"56","Kuebbing et al. 2016","2016","Ligustrum sinense","Ligustrum","Oleaceae","Field","Woody","Non-native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","6","Table 2","0","0.037777778","35.93","-83.94","35.93","14.21666718","1216","0.9246","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"57","Kuebbing et al. 2016","2016","Lonicera maackii","Lonicera","Caprifoliaceae","Field","Woody","Non-native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","6","Table 2","-0.405465108","0.08","35.93","-83.94","35.93","14.21666718","1216","0.9246","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"58","Rigg et al. 2016","2016","Ceratopetalum apetalum","Ceratopetalum","Cunoniaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","3.133333333","Original data","-0.09698038","0.010515001","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"59","Rigg et al. 2016","2016","Ceratopetalum apetalum","Ceratopetalum","Cunoniaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","6.4","Original data","-0.242643117","0.020102767","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"60","Rigg et al. 2016","2016","Ceratopetalum apetalum","Ceratopetalum","Cunoniaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","12.13333333","Original data","0.025293732","0.015706927","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"61","Rigg et al. 2016","2016","Ceratopetalum apetalum","Ceratopetalum","Cunoniaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","25.6","Original data","0.030801678","0.01313589","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"62","Rigg et al. 2016","2016","Ceratopetalum apetalum","Ceratopetalum","Cunoniaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","34.86666667","Original data","0.109749823","0.005615883","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"63","Rigg et al. 2016","2016","Ceratopetalum apetalum","Ceratopetalum","Cunoniaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","3.133333333","Original data","-0.010105699","0.008075505","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"64","Rigg et al. 2016","2016","Ceratopetalum apetalum","Ceratopetalum","Cunoniaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","6.4","Original data","-0.122295319","0.009919803","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"65","Rigg et al. 2016","2016","Ceratopetalum apetalum","Ceratopetalum","Cunoniaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","12.13333333","Original data","-0.093634395","0.004502162","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"66","Rigg et al. 2016","2016","Ceratopetalum apetalum","Ceratopetalum","Cunoniaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","25.6","Original data","-0.064227379","0.004078966","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"67","Rigg et al. 2016","2016","Ceratopetalum apetalum","Ceratopetalum","Cunoniaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","34.86666667","Original data","0.00159878","0.002910821","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"68","Rigg et al. 2016","2016","Wollemia nobilis","Wollemia","Araucariaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","3.133333333","Original data","0.132457855","0.009490739","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"69","Rigg et al. 2016","2016","Wollemia nobilis","Wollemia","Araucariaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","6.4","Original data","0.173751573","0.011328623","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"70","Rigg et al. 2016","2016","Wollemia nobilis","Wollemia","Araucariaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","12.13333333","Original data","0.148352706","0.009006069","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"71","Rigg et al. 2016","2016","Wollemia nobilis","Wollemia","Araucariaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","25.6","Original data","-0.030167142","0.002414469","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"72","Rigg et al. 2016","2016","Wollemia nobilis","Wollemia","Araucariaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","34.86666667","Original data","0.012138544","0.001474405","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"73","Rigg et al. 2016","2016","Wollemia nobilis","Wollemia","Araucariaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","3.133333333","Original data","-0.031252544","0.043842509","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"74","Rigg et al. 2016","2016","Wollemia nobilis","Wollemia","Araucariaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","6.4","Original data","0.063058136","0.080871084","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"75","Rigg et al. 2016","2016","Wollemia nobilis","Wollemia","Araucariaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","12.13333333","Original data","-0.250869885","0.051045691","-34.06","150.77","34.06","16.99166679","950","0.5863","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
